,Season,Champion,Runner-Up,Top Scorer
0,2024-2025,,,
1,2023-2024,Real Madrid,Dortmund,"Harry Kane, Kylian Mbappé - 8"
2,2022-2023,Manchester City,Internazionale,Erling Haaland - 12
3,2021-2022,Real Madrid,Liverpool,Karim Benzema - 15
4,2020-2021,Chelsea,Manchester City,Erling Haaland - 10
5,2019-2020,Bayern Munich,Paris Saint-Germain,Robert Lewandowski - 15
6,2018-2019,Liverpool,Tottenham Hotspur,Lionel Messi - 12
7,2017-2018,Real Madrid,Liverpool,Cristiano Ronaldo - 15
8,2016-2017,Real Madrid,Juventus,Cristiano Ronaldo - 12
9,2015-2016,Real Madrid,Atlético Madrid,Cristiano Ronaldo - 16
10,2014-2015,Barcelona,Juventus,"Lionel Messi, Neymar... - 10"
11,2013-2014,Real Madrid,Atlético Madrid,Cristiano Ronaldo - 17
12,2012-2013,Bayern Munich,Dortmund,Cristiano Ronaldo - 12
13,2011-2012,Chelsea,Bayern Munich,Lionel Messi - 14
14,2010-2011,Barcelona,Manchester United,Lionel Messi - 12
15,2009-2010,Internazionale,Bayern Munich,Lionel Messi - 8
16,2008-2009,Barcelona,Manchester United,Lionel Messi - 9
17,2007-2008,Manchester United,Chelsea,Cristiano Ronaldo - 8
18,2006-2007,Milan,Liverpool,Kaká - 10
19,2005-2006,Barcelona,Arsenal,Andriy Shevchenko - 9
20,2004-2005,Liverpool,Milan,Ruud van Nistelrooy - 8
21,2003-2004,Porto,Monaco,Fernando Morientes - 9
22,2002-2003,Milan,Juventus,Ruud van Nistelrooy - 12
23,2001-2002,Real Madrid,Bayer Leverkusen,Ruud van Nistelrooy - 10
24,2000-2001,Bayern Munich,Valencia,Raúl - 7
25,1999-2000,Real Madrid,Valencia,"Rivaldo, Raúl... - 10"
26,1998-1999,Manchester United,Bayern Munich,"Dwight Yorke, Andriy Shevchenko - 8"
27,1997-1998,Real Madrid,Juventus,Alessandro Del Piero - 10
28,1996-1997,Dortmund,Juventus,Milinko Pantić - 5
29,1995-1996,Juventus,Ajax,Jari Litmanen - 9
30,1994-1995,Ajax,Milan,George Weah - 7
31,1993-1994,Milan,Barcelona,"Ronald Koeman, Wynton Rufer - 8"
32,1992-1993,Marseille,Milan,Romário - 7
33,1991-1992,Barcelona,Sampdoria,"Jean-Pierre Papin, Sergei Yuran - 7"
34,1990-1991,Red Star,Marseille,"Peter Pacult, Jean-Pierre Papin - 6"
